Concelho,Duo,Large Group,Small Group,Solo,Unknown
olhão,1,0,0,0,0
oliveira de azeméis,1,52,5,4,0
oliveira de frades,0,20,0,0,0
oliveira do hospital,0,0,0,2,0
ourense,0,2,3,20,0
ourique,16,5,4,15,2
ovar,23,11,30,7,0
ovibeja,4,2,0,0,1
palmela,22,9,11,28,0
pampilhosa da serra,0,0,0,8,0
paredes de coura,1,11,0,54,0
paris,6,10,10,2,0
pena,0,0,0,1,0
penacova,1,0,1,28,0
penafiel,9,1,0,29,0
penalva do castelo,0,0,0,4,0
penamacor,68,53,56,274,0
penedo gordo,0,1,0,0,0
penela,1,0,2,2,0
peniche,19,13,3,104,0
pias,1,0,3,1,0
pico,0,0,1,0,0
pico do facho,1,0,0,1,0
pinhel,6,0,38,19,0
poiares,0,0,0,1,0
pombal,2,50,43,49,0
ponta delgada,8,4,5,51,0
ponte da barca,5,81,10,2,0
ponte de lima,1,37,0,0,0
ponte de sor,6,43,1,14,0
ponte de sôr,2,0,0,9,0
pontevedra,9,6,5,6,0
portalegre,16,38,10,42,0
portas do sol,0,0,0,4,0
portel,5,4,0,41,0
portela,0,1,0,0,0
portimão,2,0,2,5,0
porto,32,85,78,161,1
porto de mós,12,0,5,31,0
porto santo,0,0,2,0,0
povoação,4,0,0,1,0
praia da vitória,0,0,1,9,0
proença-a-nova,0,3,1,18,0
proença-a-velha,0,0,0,25,0
póvoa do varzim,0,0,0,1,0
quioto,2,0,1,7,0
redondo,1,27,6,21,0
reguengos de monsaraz,0,1,0,1,0
retaxo,0,1,0,0,0
ribeira brava,0,16,1,0,0
ribeira de frades,5,0,20,1,0
ribeira de pena,38,9,15,292,0
ribeira grande,0,0,0,1,0
rio de onor,0,0,1,0,0
rio maior,0,0,0,52,0
sabugal,5,11,4,15,0
salamanca,1,0,6,0,0
salvada,31,7,0,169,0
salvaterra de magos,29,2,44,134,0
santa barbara de nexe,0,1,0,0,0
santa clara,0,1,0,5,0
santa clara do louredo,90,0,0,135,0
santa cruz,4,1,0,7,0
santa cruz da graciosa,1,19,0,20,0
santa maria da feira,1,33,12,21,0
santa marta de penaguião,0,0,0,5,0
santa vitória,0,9,0,1,0
santana,1,5,0,2,0
santarém,10,1,11,74,2
santiago de compostela,25,4,0,40,0
santiago do cacém,15,0,6,42,1
santo tirso,3,15,26,41,0
santos,1,0,0,2,0
sardoal,7,2,2,100,2
seia,4,16,3,9,0
seixal,2,1,0,2,0
serpa,23,308,43,144,1
serpins,0,0,0,1,0
sertã,18,1,1,64,0
sesimbra,0,12,0,4,0
setubal,4,0,8,0,0
setúbal,2,0,0,2,0
sever do vouga,34,10,0,99,0
silves,28,10,22,127,0
sintra,3,7,17,13,0
soure,0,0,18,17,0
sousel,18,5,1,39,0
souselas,0,1,18,3,0
soutelo,0,25,0,0,0
são brás de alportel,0,0,0,9,0
são franscisco da serra,1,0,1,0,0
são joão dos angolares,0,1,0,1,0
são martinho das amoreiras,0,1,0,0,0
são mateus,0,0,9,0,0
são miguel,1,0,4,0,0
são miguel de machede,0,0,1,0,0
são pedro do sul,3,221,49,13,0
são roque do pico,0,0,0,1,0
são tomé e principe,0,1,0,0,0
tabuyo del monte,3,5,20,6,0
tavira,9,18,3,23,0
terras do bouro,0,0,0,2,2
tiblisi,4,6,3,0,0
tiblissi,0,0,4,0,0
tiblísi,0,3,6,0,0
tocha,0,0,0,27,0
tomar,8,13,16,31,0
tondela,4,0,5,7,0
tordoia,0,2,2,0,0
torres novas,0,9,1,2,0
torres vedras,0,5,0,3,0
trancoso,0,0,0,13,0
trindade,2,13,0,26,0
trofa,0,0,1,0,0
tóquio,9,0,0,7,0
vale de cambra,0,121,0,11,0
valongo,0,0,1,0,0
valpaços,2,0,0,4,0
velas,6,1,0,0,0
viana do alentejo,32,248,7,101,0
viana do castelo,0,32,6,10,0
vidigueira,3,23,3,4,0
vieira do minho,5,21,5,28,0
vigo,0,4,4,0,0
vila do bispo,0,1,0,1,0
vila do conde,2,1,1,4,0
vila do porto,17,7,6,14,2
vila franca de xira,1,0,4,9,0
vila nova da barquinha,0,0,0,1,0
vila nova de barquinha,1,0,0,1,0
vila nova de famalicão,0,74,9,28,1
vila nova de foz côa,3,0,2,4,0
vila nova de gaia,4,1,4,0,0
vila nova de poiares,4,12,11,191,0
vila real,0,0,0,729,0
vila velha de ródão,4,6,41,117,1
vimioso,219,0,29,999,6
vinhais,28,80,14,144,0
viseu,30,58,57,50,0
vizela,0,3,6,9,0
vouzela,3,163,1,10,0
zamora,24,23,4,48,0
àgueda,0,0,1,0,0
águeda,11,15,27,33,0
évora,19,28,27,31,3
ílhavo,17,10,36,171,4
óbidos,0,16,0,6,0
